SIMULATION_NUMBER,BANK ACCOUNT
323,0.0166808
324,0.0060383
325,-0.0048592
326,0.00304324
327,0.00778002
328,0.00204994
329,-0.00263948
330,0.00343021
331,0.00174383
332,-0.00424956
333,-0.0224042
334,-0.00792119
335,0.0110518
336,0.0149435
337,-0.00923587
338,-0.00135076
339,-0.00908053
340,0.0123744
341,0.0213287
342,0.0504718
343,0.00152185
344,0.0105035
345,0.012661
346,0.00211687
347,0.0249758
348,-0.0204542
349,-0.0152579
350,0.0150692
351,0.000891788
352,0.0300555
353,-0.0298972
354,0.0129981
355,-0.00672606
356,-0.0597021
357,0.00625997
358,-0.00994131
359,0.0196603
360,-0.0352349
361,0.00968132
362,0.0203273
363,0.00281972
364,-0.00475074
365,0.00181126
366,-0.0249568
367,-0.0330925
368,-0.0218898
369,-0.0128664
370,-0.00136062
371,0.0518783
372,0.00421849
373,0.0457009
374,-0.0564133
375,-0.029421
376,0.0072967
377,0.0317802
378,-0.00899823
379,0.000997582
380,-0.00463948
381,0.00474929
382,-0.0103959
383,-0.0237988
384,-0.0112665
385,0.0152503
386,0.0105979
387,0.0424258
388,0.0268835
389,0.0154893
390,0.0110363
391,0.0311067
392,-0.014184
393,-0.00338017
394,-0.0189467
395,0.00452833
396,-0.0166855
397,-0.00561741
398,0.0144295
399,-0.0108541
400,0.0146401
401,-0.014723
402,-0.0551318
403,0.00419319
404,-0.00361629
405,-0.0269667
406,-0.00121739
407,0.0413004
408,-0.0347538
409,-0.00867106
410,0.00648746
411,0.0268481
412,0.00152928
413,0.0277651
414,-0.00953594
415,-0.0133849
416,0.0348463
417,-0.0267644
418,0.003186
419,-0.00649887
420,-0.0143864
421,-0.0409818
422,-0.00771345
423,-0.0234226
424,-0.00199473
425,-0.0169363
426,0.0145669
427,0.0061185
428,-0.000661903
429,-0.0141208
430,0.00128762
431,0.00613889
432,0.0281658
433,0.0228426
434,-0.00330817
435,0.0183908
436,8.06221e-05
437,0.00496196
438,-0.0120535
439,-0.00740041
440,0.0252519
441,-0.00418626
442,0.0254766
443,-0.00761907
444,-0.00348599
445,-0.000475922
446,0.0129048
447,0.00346624
448,0.00481337
449,8.86495e-05
450,0.0390123
451,0.00677788
452,-0.0555149
453,-0.00988981
454,0.000605001
455,-0.0459225
456,0.015641
457,-0.00339302
458,-0.0168241
459,0.00708845
460,0.0194447
461,0.0332504
462,-0.0299355
463,0.039986
464,0.0446816
465,8.86624e-06
466,-0.0164797
467,0.0303204
468,-0.0033561
469,-0.00900951
470,-0.0179364
471,0.0167088
472,0.00185691
473,-0.030291
474,-0.000370729
475,0.00225461
476,0.0193171
477,-0.0255974
478,-0.0142151
479,0.0155733
480,0.0176477
481,0.0158331
482,0.00717932
483,-0.00329059
484,0.0233973
485,0.00161529
486,0.0210171
487,0.0134167
488,0.0255582
489,0.0541378
490,-0.0184673
491,-0.00595784
492,0.0223959
493,-0.0179345
494,0.00714656
495,-0.0139428
496,-0.0017789
497,0.0147102
498,0.000847454
499,0.0211461
500,-0.0083222
501,0.0100242
502,-0.0298748
503,-0.0241409
504,0.00857088
505,-0.0182404
506,-0.0238128
507,-0.0178696
508,-0.0147994
509,-0.00561812
510,-0.0175075
511,-0.00656179
512,-0.00147278
513,0.0193793
514,-0.0211973
515,-0.0411629
516,0.0339421
517,-0.000855981
518,0.00366347
519,-0.0300681
520,-0.0282189
521,0.0182936
522,-0.0105662
523,0.00224978
524,-0.0085456
525,0.00212883
526,-0.027779
527,-0.00976691
528,0.00142051
529,0.0010284
530,0.00551676
531,0.0626379
532,-0.00673066
533,-0.00958473
534,0.0380175
535,-0.00939526
536,-0.00686105
537,-0.013738
538,-0.0125249
539,-0.000562656
540,-0.00813634
541,-0.0195594
542,-0.035075
543,0.0181046
544,-0.00870951
545,0.0259472
546,0.00111604
547,0.0242612
548,-0.0321721
549,0.0361206
550,-0.00365857
551,-0.0350445
552,-0.000510962
553,-0.00674997
554,0.00956017
555,-0.00940198
556,0.0287745
557,-0.0071311
558,-0.00551758
559,0.0193058
560,-0.0383664
561,0.016082
562,0.0102055
563,-0.0121757
564,0.0160976
565,-0.0294606
566,-0.0234615
567,0.00146623
568,-0.0345345
569,0.000463555
570,-0.0280958
571,0.00168843
572,-0.00632673
573,0.0102378
574,-0.0254592
575,0.000883434
576,-0.0158612
577,-0.0684218
578,0.00665761
579,-0.000280886
580,-0.0138742
581,-0.0134102
582,0.0238145
583,0.00470545
584,0.00507076
585,0.0180125
586,-0.00503995
587,0.00678835
588,-0.0656979
589,0.00747936
590,0.0151451
591,0.00218952
592,0.0170238
593,0.0135759
594,0.00866658
595,-0.0491858
596,0.00373869
597,0.00499843
598,-0.0346194
599,-0.00780714
600,-0.0250534
601,0.00722121
602,-0.0383594
603,0.0169829
604,0.0244498
605,-0.0145816
606,0.00761095
607,0.00311043
608,-0.0162798
609,-0.00326878
610,-0.0376246
611,-0.0151775
612,0.0167912
613,0.0181098
614,0.0249943
615,-0.00213448
616,-0.00568495
617,-0.0226035
618,-0.0305055
619,-0.0112512
620,0.00509979
621,-0.0104603
622,0.0213704
623,-0.0430838
624,-0.00221489
625,-0.0590419
626,-0.00912395
627,-0.00408268
628,0.0392176
629,0.0201891
630,-0.0184156
631,-0.00937907
632,-0.000338189
633,-0.0246478
634,0.00395771
635,-0.00253218
636,0.00836012
637,-0.00449356
638,-0.0023344
639,-0.0118856
640,0.0445536
641,0.019536
642,-0.0223451
643,-0.00284421
644,-7.83792e-05
645,-0.00389652
646,-0.0109043
647,0.014322
648,0.0254632
649,0.0262778
650,0.0103558
651,0.0288661
652,0.00127482
653,-0.0312204
654,0.0317995
655,-0.00111823
656,0.0186565
657,0.0130629
658,-0.000270253
659,-0.00757168
660,0.0382439
661,0.00509185
662,-0.0435093
663,-0.00964218
664,0.00608178
665,-0.0193944
666,-0.000616062
667,0.00624377
668,0.0343921
669,-0.0021197
670,0.0256044
671,-0.00151337
672,0.0228673
673,0.025803
674,0.0180901
675,-0.0326299
676,0.0336195
677,-0.00105656
678,-0.0427581
679,0.0339476
680,0.0132686
681,0.00614176
682,-0.0101096
683,-0.00958577
684,-0.0364424
685,0.00655022
686,-0.00160646
687,0.0239817
688,0.00285095
689,0.0215546
690,0.00331275
691,0.00597907
692,0.00101352
693,-0.0233439
694,0.0102659
695,0.0417861
696,0.046051
697,0.0577855
698,-0.047245
699,-0.0110393
700,0.0232476
701,-0.000101307
702,0.0196913
703,-0.00514033
704,-0.00177361
705,-0.0156128
706,0.0411538
707,0.00988256
708,-0.0402069
709,0.00592106
710,0.0183091
711,-0.0627526
712,-0.00909929
713,-0.0278711
714,-0.0195422
715,-0.0273488
716,0.0102162
717,-0.00380323
718,-0.0576376
719,-0.0148838
720,0.00633251
721,0.0072684
722,0.00507529
723,-0.0126831
724,-0.00194436
725,0.0168825
726,-0.00233154
727,0.0115149
728,-0.0294969
729,0.00966515
730,0.00547493
731,0.0239473
732,-0.00817509
733,0.00822082
734,-0.00526571
735,0.0100482
736,0.0124163
737,0.0114807
738,0.021987
739,0.0143528
740,-0.0201401
741,-0.0056777
742,0.00824101
743,-0.026962
744,-0.0125151
745,-0.00602444
746,0.0284342
747,0.0306189
748,0.0187795
749,0.0106689
750,-0.00565943
751,-0.0450427
752,-0.0146321
753,-0.0150678
754,0.00204459
755,-0.0141266
756,-0.0264009
757,-0.0601578
758,0.0425815
759,0.0257598
760,-0.0131983
761,-0.01561
762,-0.000423214
763,0.00294812
764,0.00908256
765,-0.0073587
766,-0.00549545
767,0.000286393
768,-0.0575943
769,-0.00781431
770,0.00698
771,-0.04311
772,0.00928139
773,0.00481442
774,0.023159
775,-0.000872846
776,0.0152242
777,0.0138676
778,-0.038281
779,-0.0256143
780,0.00241939
781,-0.0117012
782,-0.0156434
783,-0.0114717
784,0.0127286
785,-0.0137943
786,0.0214075
787,0.00816551
788,-0.0563889
789,-0.0158451
790,-0.00457991
791,-0.00501264
792,-0.00456813
793,-0.000326149
794,0.0250175
795,0.0071704
796,-0.0124633
797,0.000943868
798,-0.0147593
799,0.0152559
800,-0.00752504
801,-0.0259527
802,-0.00489078
803,0.0139953
804,0.00691311
805,0.00842432
806,-0.0269965
807,-0.0399409
808,0.0130848
809,-0.00899611
810,0.0229006
811,0.0148448
812,-0.0131822
813,0.00022738
814,0.0090463
815,-0.000926388
816,0.0347589
817,-0.0364827
818,-0.00868376
819,-0.0167009
820,0.0155834
821,-0.0032569
822,0.0115638
823,-0.00513722
824,0.0234469
825,0.021573
826,0.00691105
827,0.0120736
828,-0.00798966
829,-0.00247289
830,0.0137788
831,0.00340025
832,0.0349823
833,0.0200478
834,0.0197801
835,-0.00319781
836,-0.00580923
837,-0.00143783
838,0.0202968
839,-0.0166037
840,-0.0076135
841,-0.0112023
842,-0.0495908
843,0.009132
844,-0.00588335
845,-0.0117651
846,-0.004933
847,0.015541
848,0.0159622
849,-0.0586008
850,0.0147086
851,-0.0135272
852,0.00105103
853,-0.00908896
854,-0.0227143
855,-0.00961193
856,-0.0128677
857,0.00689958
858,-0.0160067
859,-0.025371
860,-0.000942694
861,-0.0689444
862,0.0511626
863,-0.0201192
864,-0.014454
865,0.0119479
866,0.00303923
867,0.00634383
868,-0.0166927
869,0.00520341
870,0.0537801
871,-0.0194763
872,0.0162483
873,0.0160852
874,0.0319377
875,0.00953767
876,-0.00236257
877,-0.0342938
878,0.0299608
879,0.00674126
880,0.00538455
881,0.00190472
882,0.0242514
883,-0.00601877
884,-0.00376647
885,0.00723367
886,-0.00997721
887,0.0126354
888,0.01809
889,0.010271
890,0.0226524
891,-0.00686602
892,0.0192863
893,0.0315017
894,-0.00552795
895,0.00073807
896,-0.000604913
897,0.0103132
898,-0.0297103
899,-0.00582148
900,-0.0172514
901,-0.0199555
902,0.00489441
903,-0.027323
904,-0.00917396
905,-0.00544711
906,-0.00502634
907,0.0354163
908,-0.00487487
909,0.00168525
910,0.0237574
911,0.0356925
912,-0.0220571
913,-0.00328848
914,-0.00844668
915,-0.00617429
916,0.0102375
917,0.0117373
918,-0.013124
919,-0.00220437
920,0.00230655
921,0.00654514
922,0.0423207
923,-0.0123439
924,0.0527772
925,-0.0177963
926,0.00747691
927,0.0283715
928,-0.00480514
929,0.0054198
930,0.0184648
931,0.0329876
932,-0.0148256
933,0.00105445
934,0.0211157
935,-0.023128
936,0.00134746
937,0.0345676
938,0.0183014
939,0.00920156
940,0.00378906
941,-0.00368903
942,0.00393432
943,-0.00881514
944,-0.00724286
945,0.0134748
946,0.00593089
947,0.0297546
948,0.0230839
949,0.000805249
950,0.00967649
951,-0.00673001
952,-0.0108816
953,-0.00107561
954,-0.00670171
955,-0.00266872
956,-0.0176355
957,-0.00907801
958,-0.00147972
959,7.70491e-06
960,-0.00574833
961,-0.0224951
962,0.0163137
963,-0.0076595
964,0.00228134
965,0.0158995
966,0.0303868
967,0.0162642
968,0.00396077
969,-0.00514577
970,0.0257801
971,-0.0427361
972,-0.0304208
973,-0.0143863
974,-0.0414919
975,-0.0102962
976,-0.000803185
977,-0.01176
978,0.0213247
979,0.00825943
980,-0.0211322
981,-0.0231156
982,-0.00919516
983,-0.00467384
984,0.00727904
985,-0.0423511
986,0.00323928
987,0.0320076
988,-0.00302492
989,0.00497951
990,0.0103443
991,-0.0219677
992,-0.00443329
993,0.0220599
994,-0.0130265
995,-0.0136689
996,0.037703
997,-0.0115521
998,-0.00927014
999,0.00674907
